"","model","Marg_Like","Marg_Like_SD","Rank","lbf","modelprob"
"1","Island",-2263.7172034,5.75448382779234,6,-269.434623,3.01971862259914e-59
"2","Panmixia",-2132.5023806,4.71458327863937,2,-7.00497739999992,0.029230750312502
"3","Point_Conception",-2152.3141113,6.34924582733583,4,-46.6284388000004,7.27301767948111e-11
"4","Stepping_Stone",-2136.8780727,8.87623379816482,3,-15.7563615999998,0.00036770626519432
"5","Stepping_Stone_CC",-2128.9998919,6.31000996916429,1,0,0.970401543349573
"6","Symmetrical_Stepping_Stone",-2164.763085,9.16217807981369,5,-71.5263862000002,2.85229250021909e-16
