"","Kayak Island","Elfin Cove","Bamfield","Port Renfrew","Cape Arago","Enderts Beach","Trinidad Head","Walk On Beach","Bodega Head","Davenport Landing","Vista Del Mar","Hazard Reef","Refugio Beach","Carpinteria","White Point","La Jolla","Playa Encantada","El Zeppelin","Punta Clara","Punta Baja","Punta San Carlos","Faro San Jose","Punta Lobos"
"Port Renfrew",0.0647597621725855,-0.00220367591897956,0.00351248965847545,NA,-0.00816729958903361,-0.00746268656716393,-0.00416399743754002,-0.0127701918292886,-0.00609756097560973,-0.000875697821701779,0.00830126834829706,0.0804246828280424,0.0128512147414218,0.00328529037727864,0.130540672187043,0.000100391526955181,-0.000628761340159763,0.0439570304317904,0.00794760174128375,0.0483813589469942,0.00783289817232358,-0.00317901538684946,0.0236542083870326
"Cape Arago",0.0574290955270215,0.00660852331927094,-0.00910848527828852,-0.00816729958903361,NA,-0.00603070175438627,8.63483291597193e-05,-0.0200159740542631,0.00566956799488939,-0.00221217165960016,0.0169099729823243,0.0716203166982973,0.0198606683197545,0.00754220919899791,0.121744797123436,0.0241289474324948,-0.00197593625054515,0.0332883309488789,-0.00221385875581117,0.0379622973080917,0.0138254371447405,-0.00527000684803182,0.0124028541550196
"Enderts Beach",0.0365257405809605,-0.00149433033490563,-0.00491999588985774,-0.00746268656716393,-0.00603070175438627,NA,0.010865492693893,-0.022816908224249,-0.00176366843033495,-0.00496455935948558,0.000567181109883772,0.0510924583569356,0.00432879726400898,-0.00062021914409764,0.0876304705998478,0.00869608060503065,-0.0122516533069645,0.0219999186694321,-0.00198807157057652,0.0225837785332685,-2.33198622231157e-06,-0.00395770076431794,0.00780023234734655
"Trinidad Head",0.0952471845772092,0.0131054276361547,0.0200876503385752,-0.00416399743754002,8.63483291597193e-05,0.010865492693893,NA,-0.00790419161676646,-0.0011864406779661,-0.0163316609633108,0.0271641455743597,0.112607537795771,0.0218226161658445,0.0186023548699606,0.169848042129239,0.013550063464005,0.0161803885892522,0.0776431718061675,0.0353637638261412,0.076587633927282,0.0269286882970366,0.00936516610450551,0.0423052213579645
"Walk On Beach",0.0418293082172807,-0.00218542801051965,-0.0104559102130953,-0.0127701918292886,-0.0200159740542631,-0.022816908224249,-0.00790419161676646,NA,-0.00425778421433731,-0.00991561945460488,0.00562078603468209,0.0596450901750147,0.00674763832658569,-0.00325524423864003,0.103132489529016,0.0145867098865478,-0.00748690735275117,0.0201102570075318,-0.00466682253916305,0.0296882283774101,0.00105364843197566,-0.0169311944817385,0.00444230529760631
"Bodega Head",0.0973436861463014,0.00743184454756398,0.0138199858256556,-0.00609756097560973,0.00566956799488939,-0.00176366843033495,-0.0011864406779661,-0.00425778421433731,NA,-0.00086325966850842,0.0290227372103192,0.113158367787165,0.0301784439685938,0.0166581892166835,0.167522448463387,0.0171695282547092,0.00440670748624102,0.0781848979227961,0.0265144863915717,0.0779261099037567,0.0261445005844662,0.00392987410283545,0.0387975775981207
"Davenport Landing",0.06051629733955,0.00795323411033332,-0.00481599025162109,-0.000875697821701779,-0.00221217165960016,-0.00496455935948558,-0.0163316609633108,-0.00991561945460488,-0.00086325966850842,NA,0.0165486450960629,0.0859846971856485,0.0185521851782928,0.0107111730819387,0.138409090909091,0.0251518764548911,-0.0115201367910889,0.0537877031459451,0.0151502779310221,0.0548686293945755,0.012347479585762,-0.00469594543808003,0.0126574748502914
"Vista Del Mar",0.00694597845028593,-0.00339147286821682,0.0069693213235628,0.00830126834829706,0.0169099729823243,0.000567181109883772,0.0271641455743597,0.00562078603468209,0.0290227372103192,0.0165486450960629,NA,0.0152327181189715,-0.00474169255884977,-0.0118343195266272,0.0422750638304679,0.0121677606898328,0.005888354452867,0.000893739291499763,-0.00238613734739195,-0.00294218270542235,-0.0198698456370281,0.00871307031888461,-0.00377563407788066
"Hazard Reef",-0.0193251430127544,0.0474289669190603,0.0447846889952152,0.0804246828280424,0.0716203166982973,0.0510924583569356,0.112607537795771,0.0596450901750147,0.113158367787165,0.0859846971856485,0.0152327181189715,NA,0.0252313406403705,0.0276323659167756,-0.0155189817234242,0.0850785014450966,0.052581745286961,-0.0140943009527426,0.0208874005860191,-0.0138646957207881,0.0166516755640416,0.0608173142067803,0.0136539466234354
"Refugio Beach",0.0160191493279321,0.00125918396425465,0.0125407419816547,0.0128512147414218,0.0198606683197545,0.00432879726400898,0.0218226161658445,0.00674763832658569,0.0301784439685938,0.0185521851782928,-0.00474169255884977,0.0252313406403705,NA,-0.00674758774258804,0.0525082314884348,0.00908585203040991,0.0163103385264696,0.0107657491558756,0.0107330695834302,0.0012859914121931,-0.00546314962452278,0.0173957155952687,0.0149685780902338
"Carpinteria",0.0202280132888248,-0.0127214170692428,0.00194991223324958,0.00328529037727864,0.00754220919899791,-0.00062021914409764,0.0186023548699606,-0.00325524423864003,0.0166581892166835,0.0107111730819387,-0.0118343195266272,0.0276323659167756,-0.00674758774258804,NA,0.0659157667220677,0.0125478330515261,0.00366173120449513,0.0114455980932764,-0.000468805670673491,0.00536083550324558,-0.015794002432334,0.000935877560170699,-0.00041803518787427
"White Point",-0.0123126999575142,0.0879101722596766,0.0883524622879796,0.130540672187043,0.121744797123436,0.0876304705998478,0.169848042129239,0.103132489529016,0.167522448463387,0.138409090909091,0.0422750638304679,-0.0155189817234242,0.0525082314884348,0.0659157667220677,NA,0.136487151507371,0.0938645393176862,0.00101969396246356,0.0519887854774495,-0.000335019886436747,0.0447733974529834,0.10743793854286,0.0459545660224842
"La Jolla",0.0713735490211701,0.00951897627833071,0.0297225102919455,0.000100391526955181,0.0241289474324948,0.00869608060503065,0.013550063464005,0.0145867098865478,0.0171695282547092,0.0251518764548911,0.0121677606898328,0.0850785014450966,0.00908585203040991,0.0125478330515261,0.136487151507371,NA,0.0189136434004173,0.0547424939578213,0.0299448042070495,0.0558447373576247,0.0143219351743983,0.0205612515493461,0.0417819559484785
"Playa Encantada",0.0337982522136697,0.00249918928737786,-0.0136338354872501,-0.000628761340159763,-0.00197593625054515,-0.0122516533069645,0.0161803885892522,-0.00748690735275117,0.00440670748624102,-0.0115201367910889,0.005888354452867,0.052581745286961,0.0163103385264696,0.00366173120449513,0.0938645393176862,0.0189136434004173,NA,0.0258819906887042,-0.0042412330609289,0.0297994054366955,0.00333084762614987,-0.00618587302255902,-0.000946819206043607
