"","model","Marg_Like","Marg_Like_SD","Rank","lbf","modelprob"
"1","Island",-2266.9444364,7.40645779097206,6,-276.5616411,8.73156071520642e-61
"2","Panmixia",-2133.3101281,4.73296898627391,2,-9.29302449999977,0.00950023976112983
"3","Point_Conception",-2150.6961172,8.22464920532706,4,-44.0650027000002,2.67359387318747e-10
"4","Stepping_Stone",-2136.5378772,7.90738201641335,3,-15.7485226999997,0.000376652576676036
"5","Stepping_Stone_CC",-2128.66361585,5.67182948194366,1,0,0.990123107394834
"6","Symmetrical_Stepping_Stone",-2163.3862184,9.23106020118054,5,-69.4452050999998,8.23862075018118e-16
