locality,decimalLatitude,decimalLongitude
Long Beach,49.0689,-125.7538
Salmon Beach,48.9596,-125.4342
China Beach,48.427,-124.0789
El Zeppelin,31.70399,-116.68974
Punta Baja,29.94938,-115.81323
Faro San José,29.25088,-114.84824
Kayak Island,59.9244,-144.4145
